actorId,awards,nominations
a0234780,29,17.0
a0601619,45,33.0
a0459170,1,3.0
a0850516,0,0.0
a0000108,26,24.0
a0000774,49,28.0
a0405336,2,8.0
a0908824,4,5.0
a0155093,12,4.0
a0769703,8,0.0
a0605743,1,1.0
a0001801,12,10.0
a0425540,2,2.0
a0005237,30,49.0
a0111656,6,5.0
a0703689,0,1.0
a0003355,7,3.0
a0399853,5,13.0
a0000972,3,5.0
a0109359,2,1.0
a0000264,145,170.0
a0941457,4,15.0
a0001490,5,4.0
a0382072,2,0.0
a0567126,3,13.0
a0208343,5,10.0
a0575523,37,22.0
a0089940,4,2.0
a0229424,6,14.0
a0229026,4,4.0
a0317981,1,3.0
a0006476,7,12.0
a0001692,12,13.0
a0865573,18,14.0
a0841232,38,18.0
a0265363,0,0.0
a0564970,8,12.0
a0000005,74,50.0
a0276397,2,2.0
a0194018,1,0.0
a0562645,1,2.0
a0417054,0,0.0
a0001045,1,6.0
a0671957,11,16.0
a0689187,8,12.0
a0000770,5,3.0
a0615536,0,0.0
a0001188,8,19.0
a0878756,38,47.0
a0082835,3,0.0
a0000850,11,4.0
a0399524,7,8.0
a0001929,4,8.0
a0688143,14,17.0
a0549658,2,3.0
a0001084,9,24.0
a0400486,1,3.0
a0485943,1,7.0
a0083348,29,40.0
a0005303,13,11.0
a0952583,34,18.0
a0171664,7,4.0
a0193303,6,5.0
a0331998,3,1.0
a0624516,4,2.0
a0874676,7,16.0
a0360253,12,13.0
a0158966,17,43.0
a0704164,0,0.0
a0007144,23,8.0
a0000777,9,10.0
a0715636,2,5.0
a0612812,1,2.0
a0742819,4,6.0
a0863622,6,10.0
a0322865,0,3.0
a0756114,1,2.0
a0350455,1,4.0
a0624714,2,0.0
a0946811,5,11.0
a0618284,2,1.0
a0677951,14,16.0
a0699933,8,5.0
a0000581,19,26.0
a0751080,2,5.0
a0682239,0,0.0
a0000142,147,147.0
a0318795,4,3.0
a0188165,5,7.0
a0097648,6,2.0
a0667767,0,1.0
a0722221,0,1.0
a0669004,4,4.0
a0000894,6,12.0
a0605137,17,29.0
a0268513,4,2.0
a0001081,19,36.0
a0002140,29,38.0
a0701592,5,12.0
a0020980,0,0.0
a0677943,0,4.0
a0798788,2,32.0
a0000878,2,0.0
a0627087,0,2.0
a0005713,3,1.0
a0346436,2,3.0
a0001408,10,8.0
a0221265,2,1.0
a0005222,55,62.0
a0912889,0,0.0
a0279807,0,1.0
a0765121,13,17.0
a0440914,2,2.0
a0000033,30,40.0
a0323795,1,3.0
a0002132,3,2.0
a0359457,2,0.0
a0599943,0,0.0
a0859920,1,0.0
a0168214,2,6.0
a0661910,58,28.0
a0001331,51,89.0
a0000691,8,5.0
a0001566,27,30.0
a0000338,49,44.0
a0242271,1,2.0
a0174374,19,40.0
