head	relation	tail
204	has_director	Alice Guy
205	has_genre	Short
205	has_genre	Comedy
205	has_genre	Sport
205	has_rating	5.3
205	has_director	Alice Guy
206	has_genre	Documentary
206	has_genre	Short
206	has_rating	4.8
206	has_director	Fructuós Gelabert
207	has_genre	Documentary
207	has_genre	Short
207	has_rating	6.4
207	has_director	n
207	has_director	u
207	has_director	l
207	has_director	l
208	has_genre	Comedy
208	has_genre	Short
208	has_rating	5.7
208	has_director	George Albert Smith
209	has_genre	Short
209	has_genre	Horror
209	has_rating	4.9
209	has_director	George Albert Smith
210	has_genre	Short
210	has_rating	5.3
210	has_director	Georges Méliès
211	has_genre	Short
211	has_genre	Comedy
211	has_genre	Fantasy
211	has_genre	Horror
211	has_genre	Sci-Fi
211	has_rating	7.5
211	has_director	Georges Méliès
212	has_genre	Short
212	has_rating	null
212	has_director	Henry Short
213	has_genre	Short
213	has_rating	4.5
213	has_director	Alice Guy
214	has_genre	Short
214	has_genre	War
214	has_rating	4.6
214	has_director	J. Stuart Blackton
215	has_genre	Short
215	has_genre	Documentary
215	has_rating	4.0
215	has_director	Jan Krízenecký
216	has_genre	Short
216	has_genre	News
216	has_rating	null
216	has_director	Fructuós Gelabert
217	has_genre	Short
217	has_rating	null
217	has_director	George Albert Smith
218	has_genre	Short
218	has_genre	Biography
218	has_genre	Drama
218	has_rating	5.9
218	has_director	Georges Méliès
219	has_genre	Short
219	has_genre	Fantasy
219	has_rating	6.7
219	has_director	George Albert Smith
220	has_genre	Short
220	has_genre	Romance
220	has_rating	null
220	has_director	n
220	has_director	u
220	has_director	l
220	has_director	l
222	has_genre	Short
222	has_genre	Comedy
222	has_rating	4.6
222	has_director	Alice Guy
223	has_genre	Short
223	has_rating	5.4
223	has_director	Alice Guy
224	has_genre	Short
224	has_rating	null
224	has_director	n
224	has_director	u
224	has_director	l
224	has_director	l
225	has_genre	Short
225	has_genre	Family
225	has_genre	Fantasy
225	has_genre	Romance
225	has_rating	5.1
225	has_director	n
225	has_director	u
225	has_director	l
225	has_director	l
227	has_genre	Short
227	has_genre	Drama
227	has_genre	War
227	has_rating	null
227	has_director	Sir Robert Ashe
228	has_genre	Short
228	has_rating	4.8
228	has_director	Alice Guy
229	has_genre	Short
229	has_genre	Sport
229	has_rating	4.5
229	has_director	n
229	has_director	u
229	has_director	l
229	has_director	l
230	has_genre	Short
230	has_genre	Drama
230	has_genre	Family
230	has_genre	Fantasy
230	has_genre	Romance
230	has_rating	6.5
230	has_director	Georges Méliès
231	has_genre	Documentary
231	has_genre	Short
231	has_rating	3.5
231	has_director	Henry Short
232	has_genre	Short
232	has_genre	Comedy
232	has_rating	null
232	has_director	Alice Guy
233	has_genre	Short
233	has_genre	Animation
233	has_rating	null
233	has_director	Fructuós Gelabert
234	has_genre	Short
234	has_genre	Horror
234	has_rating	6.1
234	has_director	Georges Méliès
235	has_genre	Short
235	has_genre	Adventure
235	has_genre	Fantasy
235	has_genre	Horror
235	has_rating	6.2
235	has_director	Georges Méliès
236	has_genre	Short
236	has_rating	null
236	has_director	Alice Guy
237	has_genre	Short
237	has_rating	null
237	has_director	Alice Guy
238	has_genre	Short
238	has_genre	Drama
238	has_rating	null
238	has_director	Alice Guy
239	has_genre	Short
239	has_rating	5.4
239	has_director	Alice Guy
240	has_genre	Short
240	has_genre	Documentary
240	has_rating	4.3
240	has_director	n
240	has_director	u
240	has_director	l
240	has_director	l
241	has_genre	Short
241	has_rating	null
241	has_director	Alice Guy
242	has_genre	Short
242	has_genre	Fantasy
242	has_genre	Horror
242	has_rating	6.3
242	has_director	Georges Méliès
243	has_genre	Short
243	has_genre	Comedy
243	has_rating	null
243	has_director	Alice Guy
246	has_genre	Short
246	has_genre	Fantasy
246	has_rating	6.4
246	has_director	Georges Méliès
247	has_genre	Short
247	has_genre	Drama
247	has_rating	4.9
247	has_director	Walter Pfeffer Dando
247	has_director	William K.L. Dickson
247	has_director	Herbert Beerbohm Tree
248	has_genre	Short
248	has_genre	Comedy
248	has_genre	Romance
248	has_rating	6.0
248	has_director	George Albert Smith
249	has_genre	Short
249	has_rating	null
249	has_director	George Albert Smith
250	has_genre	Short
250	has_genre	Documentary
250	has_rating	null
250	has_director	Fructuós Gelabert
251	has_genre	Animation
251	has_genre	Short
251	has_rating	5.5
251	has_director	Arthur Melbourne Cooper
252	has_genre	Short
252	has_genre	Comedy
252	has_rating	null
252	has_director	Alice Guy
253	has_genre	Short
253	has_genre	Horror
253	has_rating	4.6
253	has_director	Walter R. Booth
254	has_genre	Short
