actorId,awards
a0000291,"['Nominee', 'Winner', 'Nominee', None, 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', None, 'Nominee', None, None, 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', None, 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', None, 'Nominee', 'Winner', 'Nominee', None, 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', None, 'Winner', None, 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', None, 'Winner', 'Nominee', 'Winner', 'Nominee', None, 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner']"
a0000388,"['Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner']"
a0226934,['Nominee']
a0233733,[]
a0941781,[]
a0902184,"['Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee']"
a5952859,[]
a0011038,"['Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee']"
a0743486,[]
a0267724,"['Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', None, None, 'Winner', 'Winner', None, 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee']"
a0589353,[]
a0857326,[]
a1262751,[]
a0817928,[]
a0003028,['Winner']
a0000703,"['Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee']"
a0376063,[]
a1993768,"['Winner', 'Winner', 'Winner']"
a0799161,[]
a0523629,"['Winner', 'Winner', 'Winner']"
a0025908,[]
a0776819,[]
a0371660,"['Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner']"
a0920084,[]
a3974084,[]
a0220635,"['Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee']"
a0000047,"['Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', None, 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee']"
a2502354,[]
a1081893,"['Nominee', 'Winner']"
a0729273,"['Nominee', 'Winner', 'Nominee', 'Nominee']"
a0377666,[]
a0128054,[]
a0160648,[]
a0004729,"['Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee']"
a0303175,[]
a0000493,"['Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', None, 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', None, 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', None, 'Winner', None, 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner']"
a0789249,[]
a0563902,"['Nominee', None]"
a0942642,['Nominee']
a0682403,[]
a0073765,[]
a0481222,['Winner']
a3456597,[]
a0725543,"['Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner']"
a0342716,[]
a0001447,"['Nominee', 'Nominee', 'Nominee', 'Nominee', None, 'Nominee', 'Nominee', 'Nominee', 'Nominee', None, 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', None, 'Winner', 'Nominee', 'Nominee', 'Nominee', None, 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner']"
a0583653,[]
a0001633,"['Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', None, 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee']"
a0698413,"['Nominee', 'Nominee']"
a0439150,[]
a0489849,[]
a0513323,[]
a1524576,"['Winner', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner']"
a0002123,"['Nominee', 'Winner']"
a0616756,[]
a0263449,[]
a0001564,"['Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee']"
a0831471,[]
a0425594,[]
a0173473,[]
a0176659,[]
